Brand,Model,Submodel,Tyre Brand,Serial No.,Type,Load Index,Size,Selling Price,Original Price,Rating,,,
Maruti,Swift Dzire,LDI (Diesel),JKTyre,Taximaxx,Tubeless,85,165/80 R 14,"3,255","3,255",5,,,
Maruti,Swift Dzire,LDI (Diesel),CEAT,Milage X3,Tubeless,85,165/80 R 14,"3,406","3,406",4,,,
Maruti,Swift Dzire,LDI (Diesel),Apollo,Amazer 4G Life,Tubeless,85,165/80 R 14,"3,490","4,319",4.5,,,
Maruti,Swift Dzire,LDI (Diesel),Continental,Comfort Contact CC6,Tubeless,85,165/80 R 14,"4,484","4,244",,,,
Maruti,Swift Dzire,LDI (Diesel),GoodYear,Assurance Duraplus 2,Tubeless,85,165/80 R 14,"3,025","3,025",4.2,,,
Maruti,Swift Dzire,LDI (Diesel),JKTyre,Tornado,Tubeless,85,165/80 R 14,"3,103","3,103",4.3,,,
Maruti,Swift Dzire,LDI (Diesel),Firestone,FR500,Tubeless,85,165/80 R 14,"3,135","3,135",,,,
Maruti,Swift Dzire,LDI (Diesel),JKTyre,Elanzo Touring,Tubeless,85,165/80 R 14,"3,255","3,255",4.1,,,
Maruti,Swift Dzire,LDI (Diesel),BridgeStone,B-Series B290,Tubeless,85,165/80 R 14,"4,250","4,250",3.7,,,
Maruti,Swift Dzire,LDI (Diesel),BridgeStone,Turanza T005,Tubeless,85,165/80 R 14,"4,272","4,272",3.8,,,
Maruti,Swift Dzire,LDI (Diesel),BridgeStone,S-Series S248,Tubeless,85,165/80 R 14,"4,300","4,300",5,,,
Maruti,Swift Dzire,LDI (Diesel),BridgeStone,Ecopia EP150,Tubeless,85,165/80 R 14,"4,150","4,150",5,,,
Maruti,Swift Dzire,LDI (Diesel),CEAT,FuelSmart,Tubeless,85,165/80 R 14,"3,617","3,617",4.6,,,
Maruti,Swift Dzire,LDI (Diesel),CEAT,Milage X3,Tube,85,165/80 R 14,"3,637","3,637",5,,,
Maruti,Swift Dzire,LDI (Diesel),Falken,Sincera845,Tubeless,85,165/80 R 14,"4,184","4,184",,,,
Maruti,Swift Dzire,LDI (Diesel),GoodYear,Duraplus,Tubeless,85,165/80 R 14,"3,423","3,423",3,,,
Maruti,Swift Dzire,LDI (Diesel),GoodYear,Assurance Duraplus,Tubeless,85,165/80 R 14,"3,464","3,464",,,,
Maruti,Swift Dzire,LDI (Diesel),JKTyre,UX Royale,Tubeless,85,165/80 R 14,"3,288","3,288",,,,
Maruti,Swift Dzire,LDI (Diesel),MRF,ZTX,Tubeless,85,165/80 R 14,"3,995","3,995",5,,,
Maruti,Swift Dzire,LDI (Diesel),MRF,ZV2K,Tubeless,85,165/80 R 14,"4,014","4,014",4,,,
Maruti,Swift Dzire,LDI (Diesel),MRF,ZLX,Tubeless,85,165/80 R 14,"4,038","4,038",4,,,
Maruti,Swift Dzire,LDI (Diesel),UltraMile,UM 551,Tubeless,85,165/80 R 14,"4,045","4,045",3,,,
Maruti,Swift Dzire,LDI (Diesel),Yokohama,Earth-1 E400,Tubeless,85,165/80 R 14,"3,748","3,748",3,,,
Maruti,Swift Dzire,LXI Option (Petrol),Apollo,Amazer 4G Life,Tubeless,85,165/80 R 14,"3,490","4,319",4.5,,,
Maruti,Swift Dzire,LXI (Petrol),Apollo,Amazer 4G Life,Tubeless,85,165/80 R 14,"3,490","4,319",4.5,,,
Maruti,Swift Dzire,VDI (Diesel),Apollo,Amazer 4G Life,Tubeless,85,165/80 R 14,"3,490","4,319",4.5,,,
Maruti,Swift Dzire,Vxi AT (Petrol),Apollo,Amazer 4G Life,Tubeless,85,165/80 R 14,"3,490","4,319",4.5,,,
Maruti,Swift Dzire,VXI (Petrol),Apollo,Amazer 4G Life,Tubeless,85,165/80 R 14,"3,490","4,319",4.5,,,
Maruti,Swift Dzire,ZDI (Diesel),Kumho,Ecowing KH27,Tubeless,88,185/70 R 14,"3,800","3,800",,,,
Maruti,Swift Dzire,ZDI (Diesel),Pirelli,Cinturato P4,Tubeless,88,185/70 R 14,"5,350","5,350",,,,
Maruti,Swift Dzire,ZDI (Diesel),Michelin,Energy XM2,Tubeless,88,185/70 R 14,"5,170","5,170",,,,
Maruti,Swift Dzire,ZDI (Diesel),Hankook,Optimo ME02,Tubeless,88,185/70 R 14,"4,987","4,987",,,,
Maruti,Swift Dzire,ZDI (Diesel),Maxxis,MAP3,Tubeless,88,185/70 R 14,"4,465","5,200",,,,
Maruti,Swift Dzire,ZDI (Diesel),Apollo,Amazer 4G Life,Tubeless,88,185/70 R 15,"5,429","5,429",4,,,
Maruti,Swift Dzire,ZDI (Diesel),Apollo,Ainac 4G,Tubeless,88,185/70 R 16,"5,359","5,359",5,,,
Maruti,Swift Dzire,ZDI (Diesel),CEAT,Milage X3,Tubeless,88,185/70 R 19,"4,123","4,123",3.9,,,
Maruti,Swift Dzire,ZDI (Diesel),CEAT,FuelSmart,Tubeless,88,185/70 R 20,"4,366","4,366",5,,,
Maruti,Swift Dzire,ZDI (Diesel),Apollo,Amazer 4G Life,Tubeless,88,185/70 R 21,"4,199","4,351",3.9,,,
Maruti,Swift Dzire,ZDI (Diesel),Apollo,Ainac 4G,Tubeless,88,185/70 R 22,"4,489","4,489",,,,
Maruti,Kizashi,CVT,Apollo,Aspire 4G,Tubeless,94,215/55 R 17,"10,880","10,880",,,,
Maruti,Swift Dzire,ZDI (Diesel),Apollo,Amazer 3G Maxx,Tubeless,88,185/70 R 23,"4,688","4,688",,,,
Maruti,Kizashi,CVT,Apollo,Ainac 4G,Tubeless,94,215/55 R 17,"9,891","9,891",,,,
Maruti,Swift Dzire,ZDI (Diesel),Apollo,Ainac 4G,Tubeless,88,185/70 R 24,"5,359","5,359",5,,,
Maruti,Swift Dzire,ZDI (Diesel),Apollo,Amazer 4G Life,Tubeless,88,185/70 R 25,"5,429","5,429",4,,,
Maruti,Swift Dzire,ZXI,Apollo,Amazer 4G Life,Tubeless,88,185/70 R 26,"4,199","4,351",3.9,,,
Maruti,Swift Dzire,ZXI,Apollo,Ainac 4G,Tubeless,88,185/70 R 27,"4,489","4,489",,,,
Maruti,Swift Dzire,ZDI (Petrol) New,Apollo,Ainac 4G,Tubeless,88,185/70 R 28,"5,359","5,359",5,,,
Maruti,Swift Dzire,ZDI (Petrol) New,Apollo,Amazer 4G Life,Tubeless,88,185/70 R 29,"5,429","5,429",4,,,
Maruti,Swift Dzire,LXI Option (Petrol),BridgeStone,B-Series B290,Tubeless,85,165/80 R 14,"4,250","4,250",3.7,,,
Maruti,Swift Dzire,LXI Option (Petrol),BridgeStone,Turanza T005,Tubeless,85,165/80 R 14,"4,272","4,272",3.8,,,
Maruti,Swift Dzire,LXI Option (Petrol),BridgeStone,S-Series S248,Tubeless,85,165/80 R 14,"4,300","4,300",5,,,
Maruti,Swift Dzire,LXI Option (Petrol),BridgeStone,Ecopia EP150,Tubeless,85,165/80 R 14,"4,150","4,150",5,,,
Maruti,Swift Dzire,LXI (Petrol),BridgeStone,B-Series B290,Tubeless,85,165/80 R 14,"4,250","4,250",3.7,,,
Maruti,Swift Dzire,LXI (Petrol),BridgeStone,Turanza T005,Tubeless,85,165/80 R 14,"4,272","4,272",3.8,,,
Maruti,Swift Dzire,LXI (Petrol),BridgeStone,S-Series S248,Tubeless,85,165/80 R 14,"4,300","4,300",5,,,
Maruti,Swift Dzire,LXI (Petrol),BridgeStone,Ecopia EP150,Tubeless,85,165/80 R 14,"4,150","4,150",5,,,
Maruti,Swift Dzire,VDI (Diesel),BridgeStone,B-Series B290,Tubeless,85,165/80 R 14,"4,250","4,250",3.7,,,
Maruti,Swift Dzire,VDI (Diesel),BridgeStone,Turanza T005,Tubeless,85,165/80 R 14,"4,272","4,272",3.8,,,
Maruti,Swift Dzire,VDI (Diesel),BridgeStone,S-Series S248,Tubeless,85,165/80 R 14,"4,300","4,300",5,,,
Maruti,Swift Dzire,VDI (Diesel),BridgeStone,Ecopia EP150,Tubeless,85,165/80 R 14,"4,150","4,150",5,,,
Maruti,Swift Dzire,Vxi AT (Petrol),BridgeStone,B-Series B290,Tubeless,85,165/80 R 14,"4,250","4,250",3.7,,,
Maruti,Swift Dzire,Vxi AT (Petrol),BridgeStone,Turanza T005,Tubeless,85,165/80 R 14,"4,272","4,272",3.8,,,
Maruti,Swift Dzire,Vxi AT (Petrol),BridgeStone,S-Series S248,Tubeless,85,165/80 R 14,"4,300","4,300",5,,,
Maruti,Swift Dzire,Vxi AT (Petrol),BridgeStone,Ecopia EP150,Tubeless,85,165/80 R 14,"4,150","4,150",5,,,
Maruti,Swift Dzire,VXI (Petrol),BridgeStone,B-Series B290,Tubeless,85,165/80 R 14,"4,250","4,250",3.7,,,
Maruti,Swift Dzire,VXI (Petrol),BridgeStone,Turanza T005,Tubeless,85,165/80 R 14,"4,272","4,272",3.8,,,
Maruti,Swift Dzire,VXI (Petrol),BridgeStone,S-Series S248,Tubeless,85,165/80 R 14,"4,300","4,300",5,,,
Maruti,Swift Dzire,VXI (Petrol),BridgeStone,Ecopia EP150,Tubeless,85,165/80 R 14,"4,150","4,150",5,,,
Maruti,Swift Dzire,ZDI (Diesel),BridgeStone,Ecopia EP150,Tubeless,88,185/70 R 14,"5,000","5,000",,,,
Maruti,Swift Dzire,ZDI (Diesel),BridgeStone,B-Series B290,Tubeless,88,185/70 R 14,"5,150","5,150",,,,
Maruti,Swift Dzire,ZDI (Diesel),BridgeStone,Turanza T005,Tubeless,88,185/70 R 14,"5,196","5,196",4.8,,,
Maruti,Swift Dzire,ZDI (Diesel),BridgeStone,B-series B250,Tubeless,88,185/70 R 14,"5,250","5,250",,,,
Maruti,Swift Dzire,ZDI (Diesel),BridgeStone,Ecopia EP150,Tubeless,88,185/65 R 15,"6,450","6,450",4.5,,,
Maruti,Swift Dzire,ZDI (Diesel),BridgeStone,B-Series B290,Tubeless,88,185/65 R 15,"6,050","6,050",4,,,
Maruti,Swift Dzire,ZDI (Diesel),BridgeStone,Turanza T005,Tubeless,88,185/65 R 15,"6,111","6,111",3,,,
Maruti,Swift Dzire,ZDI (Diesel),BridgeStone,B-series B250,Tubeless,88,185/65 R 15,"6,150","6,150",,,,
Maruti,Swift Dzire,ZXI,BridgeStone,Ecopia EP150,Tubeless,88,185/70 R 14,"5,000","5,000",,,,
Maruti,Swift Dzire,ZXI,BridgeStone,B-Series B290,Tubeless,88,185/70 R 14,"5,150","5,150",,,,
Maruti,Swift Dzire,ZXI,BridgeStone,Turanza T005,Tubeless,88,185/70 R 14,"5,196","5,196",4.8,,,
Maruti,Swift Dzire,ZXI,BridgeStone,B-series B250,Tubeless,88,185/70 R 14,"5,250","5,250",,,,
Maruti,Swift Dzire,ZDI (Petrol) New,BridgeStone,Ecopia EP150,Tubeless,88,185/65 R 15,"6,450","6,450",4.5,,,
Maruti,Swift Dzire,ZDI (Petrol) New,BridgeStone,B-Series B290,Tubeless,88,185/65 R 15,"6,050","6,050",4,,,
Maruti,Swift Dzire,ZDI (Petrol) New,BridgeStone,Turanza T005,Tubeless,88,185/65 R 15,"6,111","6,111",3,,,
Maruti,Swift Dzire,ZDI (Petrol) New,BridgeStone,B-series B250,Tubeless,88,185/65 R 15,"6,150","6,150",,,,
Maruti,Swift Dzire,ZXI (Petrol) New,CEAT,SecuraDrive,Tubeless,88,185/65 R 15,"4,377","4,377",5,,,
Maruti,Swift Dzire,ZXI (Petrol) New,CEAT,Milage X3,Tubeless,88,185/65 R 15,"4,894","4,894",,,,
Maruti,Swift Dzire,ZXI (Petrol) New,CEAT,FuelSmart,Tubeless,88,185/65 R 15,"5,202","5,202",5,,,
Maruti,Swift Dzire,ZXI,CEAT,Milage X3,Tubeless,88,185/70 R 14,"4,123","4,123",4.3,,,
Maruti,Swift Dzire,ZXI,CEAT,FuelSmart,Tubeless,88,185/70 R 14,"4,366","4,366",5,,,
Maruti,Swift Dzire,ZDI (Petrol) New,CEAT,SecuraDrive,Tubeless,88,185/65 R 15,"4,377","4,377",5,,,
Maruti,Swift Dzire,ZDI (Petrol) New,CEAT,Milage X3,Tubeless,88,185/65 R 15,"4,894","4,894",,,,
Maruti,Swift Dzire,ZDI (Petrol) New,CEAT,FuelSmart,Tubeless,88,185/65 R 15,"5,202","5,202",5,,,
Maruti,Swift Dzire,ZDI (Diesel),CEAT,Milage X3,Tubeless,88,185/70 R 14,"4,123","4,123",4.3,,,
Maruti,Swift Dzire,ZDI (Diesel),CEAT,FuelSmart,Tubeless,88,185/70 R 14,"4,366","4,366",5,,,
Maruti,Swift Dzire,VXI (Petrol),CEAT,Milage X3,Tubeless,85,165/80 R 14,"3,406","3,406",4,,,
Maruti,Swift Dzire,VXI (Petrol),CEAT,FuelSmart,Tubeless,85,165/80 R 14,"3,617","3,617",4.6,,,
Maruti,Swift Dzire,Vxi AT (Petrol),CEAT,Milage X3,Tubeless,85,165/80 R 14,"3,406","3,406",4,,,
Maruti,Swift Dzire,Vxi AT (Petrol),CEAT,FuelSmart,Tubeless,85,165/80 R 14,"3,617","3,617",4.6,,,
Maruti,Swift Dzire,Vxi AT (Petrol),CEAT,Milage X3,Tube,85,165/80 R 14,"3,637","3,637",5,,,
Maruti,Swift Dzire,VDI (Diesel),CEAT,Milage X3,Tubeless,85,165/80 R 14,"3,406","3,406",4,,,
Maruti,Swift Dzire,VDI (Diesel),CEAT,FuelSmart,Tubeless,85,165/80 R 14,"3,617","3,617",4.6,,,
Maruti,Swift Dzire,VDI (Diesel),CEAT,Milage X3,Tube,85,165/80 R 14,"3,637","3,637",5,,,
Maruti,Swift Dzire,LXI (Petrol),CEAT,Milage X3,Tubeless,85,165/80 R 14,"3,406","3,406",4,,,
Maruti,Swift Dzire,LXI (Petrol),CEAT,FuelSmart,Tubeless,85,165/80 R 14,"3,617","3,617",4.6,,,
Maruti,Swift Dzire,LXI (Petrol),CEAT,Milage X3,Tube,85,165/80 R 14,"3,637","3,637",5,,,
Maruti,Swift Dzire,LXI Option (Petrol),CEAT,Milage X3,Tubeless,85,165/80 R 14,"3,406","3,406",4,,,
Maruti,Swift Dzire,LXI Option (Petrol),CEAT,FuelSmart,Tubeless,85,165/80 R 14,"3,617","3,617",4.6,,,
Maruti,Swift Dzire,LXI Option (Petrol),CEAT,Milage X3,Tube,85,165/80 R 14,"3,637","3,637",5,,,
Maruti,Swift Dzire,LXI Option (Petrol),Continental,Comfort Contact CC6,Tubeless,85,165/80 R 14,"4,244","4,244",,,,
Maruti,Swift Dzire,LXI Option (Petrol),Continental,Comfort Contact CC5,Tubeless,85,165/80 R 14,"4,086","4,086",3.9,,,
Maruti,Swift Dzire,LXI (Petrol),Continental,Comfort Contact CC6,Tubeless,85,165/80 R 14,"4,244","4,244",,,,
Maruti,Swift Dzire,LXI (Petrol),Continental,Comfort Contact CC5,Tubeless,85,165/80 R 14,"4,086","4,086",3.9,,,
Maruti,Swift Dzire,VDI (Diesel),Continental,Comfort Contact CC6,Tubeless,85,165/80 R 14,"4,244","4,244",,,,
Maruti,Swift Dzire,VDI (Diesel),Continental,Comfort Contact CC5,Tubeless,85,165/80 R 14,"4,086","4,086",3.9,,,
Maruti,Swift Dzire,Vxi AT (Petrol),Continental,Comfort Contact CC6,Tubeless,85,165/80 R 14,"4,244","4,244",,,,
Maruti,Swift Dzire,Vxi AT (Petrol),Continental,Comfort Contact CC5,Tubeless,85,165/80 R 14,"4,086","4,086",3.9,,,
Maruti,Swift Dzire,VXI (Petrol),Continental,Comfort Contact CC6,Tubeless,85,165/80 R 14,"4,244","4,244",,,,
Maruti,Swift Dzire,VXI (Petrol),Continental,Comfort Contact CC5,Tubeless,85,165/80 R 14,"4,086","4,086",3.9,,,
Maruti,Swift Dzire,ZDI (Diesel),Continental,Comfort Contact CC6,Tubeless,88,185/70 R14,"5,257","5,257",,,,
Maruti,Swift Dzire,ZDI (Diesel),Continental,Ultra Contact UC6,Tubeless,88,185/70 R14,"5,396","5,940",,,,
Maruti,Swift Dzire,ZDI (Diesel),Continental,Comfort Contact CC6,Tubeless,88,185/65 R 15,"5,699","5,699",,,,
Maruti,Swift Dzire,ZDI (Diesel),Continental,Ultra Contact UC6,Tubeless,88,185/65 R 15,"6,068","6,644",,,,
Maruti,Swift Dzire,ZXI,Continental,Comfort Contact CC6,Tubeless,88,185/70 R14,"5,257","5,257",,,,
Maruti,Swift Dzire,ZXI,Continental,Ultra Contact UC6,Tubeless,88,185/70 R14,"5,396","5,940",,,,
Maruti,Swift Dzire,ZXI (Petrol) New,Continental,Comfort Contact CC6,Tubeless,88,185/65 R 15,"5,699","5,699",,,,
Maruti,Swift Dzire,ZXI (Petrol) New,Continental,Ultra Contact UC6,Tubeless,88,185/65 R 15,"6,068","6,644",,,,
Maruti,Swift Dzire,ZXI (Petrol) New,Falken,Sincera845,Tubeless,88,185/65 R 15,"5,526","5,526",,,,
Maruti,Swift Dzire,ZXI (Petrol) New,Falken,EcoRun ZE914,Tubeless,88,185/65 R 15,"5,609","5,609",,,,
Maruti,Swift Dzire,ZXI,Falken,Sincera845,Tubeless,88,185/70 R14,"5,332","5,332",,,,
Maruti,Swift Dzire,ZDI (Diesel),Falken,Sincera845,Tubeless,88,185/65 R 15,"5,526","5,526",,,,
Maruti,Swift Dzire,ZDI (Diesel),Falken,EcoRun ZE914,Tubeless,88,185/65 R 15,"5,609","5,609",,,,
Maruti,Swift Dzire,ZDI (Diesel),Falken,Sincera845,Tubeless,88,185/70 R14,"5,332","5,332",,,,
Maruti,Swift Dzire,VXI (Petrol),Falken,Sincera845,Tubeless,85,165/80 R 14,"4,184","4,184",,,,
Maruti,Swift Dzire,Vxi AT (Petrol),Falken,Sincera845,Tubeless,85,165/80 R 14,"4,184","4,184",,,,
Maruti,Swift Dzire,VDI (Diesel),Falken,Sincera845,Tubeless,85,165/80 R 14,"4,184","4,184",,,,
Maruti,Swift Dzire,LXI (Petrol),Falken,Sincera845,Tubeless,85,165/80 R 14,"4,184","4,184",,,,
Maruti,Swift Dzire,LXI Option (Petrol),Falken,Sincera845,Tubeless,85,165/80 R 14,"4,184","4,184",,,,
Maruti,Swift Dzire,LXI Option (Petrol),Firestone,FR500,Tubeless,85,165/80 R 14,"3,135","3,135",,,,
Maruti,Swift Dzire,LXI (Petrol),Firestone,FR500,Tubeless,85,165/80 R 14,"3,135","3,135",,,,
Maruti,Swift Dzire,VDI (Diesel),Firestone,FR500,Tubeless,85,165/80 R 14,"3,135","3,135",,,,
Maruti,Swift Dzire,Vxi AT (Petrol),Firestone,FR500,Tubeless,85,165/80 R 14,"3,135","3,135",,,,
Maruti,Swift Dzire,VXI (Petrol),Firestone,FR500,Tubeless,85,165/80 R 14,"3,135","3,135",,,,
Maruti,Swift Dzire,ZDI (Diesel),Firestone,FR500,Tubeless,88,185/70 R 14,"3,990","3,990",,,,
Maruti,Swift Dzire,ZDI (Diesel),Firestone,FR500,Tubeless,88,185/65 R 15,"4,608","4,608",,,,
Maruti,Swift Dzire,ZXI,Firestone,FR500,Tubeless,88,185/70 R 14,"3,990","3,990",,,,
Maruti,Swift Dzire,ZXI (Petrol) New,Firestone,FR500,Tubeless,88,185/65 R 15,"4,608","4,608",,,,
Maruti,Swift Dzire,LXI Option (Petrol),GoodYear,Assurance Duraplus 2,Tubeless,85,165/80 R 14,"3,025","3,025",4.2,,,
Maruti,Swift Dzire,LXI Option (Petrol),GoodYear,Duraplus,Tubeless,85,165/80 R 14,"3,423","3,423",3,,,
Maruti,Swift Dzire,LXI Option (Petrol),GoodYear,Assurance Duraplus,Tubeless,85,165/80 R 14,"3,464","3,464",,,,
Maruti,Swift Dzire,LXI (Petrol),GoodYear,Assurance Duraplus 2,Tubeless,85,165/80 R 14,"3,025","3,025",4.2,,,
Maruti,Swift Dzire,LXI (Petrol),GoodYear,Duraplus,Tubeless,85,165/80 R 14,"3,423","3,423",3,,,
Maruti,Swift Dzire,LXI (Petrol),GoodYear,Assurance Duraplus,Tubeless,85,165/80 R 14,"3,464","3,464",,,,
Maruti,Swift Dzire,VDI (Diesel),GoodYear,Assurance Duraplus 2,Tubeless,85,165/80 R 14,"3,025","3,025",4.2,,,
Maruti,Swift Dzire,VDI (Diesel),GoodYear,Duraplus,Tubeless,85,165/80 R 14,"3,423","3,423",3,,,
Maruti,Swift Dzire,VDI (Diesel),GoodYear,Assurance Duraplus,Tubeless,85,165/80 R 14,"3,464","3,464",,,,
Maruti,Swift Dzire,Vxi AT (Petrol),GoodYear,Assurance Duraplus 2,Tubeless,85,165/80 R 14,"3,025","3,025",4.2,,,
Maruti,Swift Dzire,Vxi AT (Petrol),GoodYear,Duraplus,Tubeless,85,165/80 R 14,"3,423","3,423",3,,,
Maruti,Swift Dzire,Vxi AT (Petrol),GoodYear,Assurance Duraplus,Tubeless,85,165/80 R 14,"3,464","3,464",,,,
Maruti,Swift Dzire,VXI (Petrol),GoodYear,Assurance Duraplus 2,Tubeless,85,165/80 R 14,"3,025","3,025",4.2,,,
Maruti,Swift Dzire,VXI (Petrol),GoodYear,Duraplus,Tubeless,85,165/80 R 14,"3,423","3,423",3,,,
Maruti,Swift Dzire,VXI (Petrol),GoodYear,Assurance Duraplus,Tubeless,85,165/80 R 14,"3,464","3,464",,,,
Maruti,Swift Dzire,ZDI (Diesel),GoodYear,Assurance Duraplus,Tubeless,88,185/70 R 14,"4,262","4,262",,,,
Maruti,Swift Dzire,ZDI (Diesel),GoodYear,Assurance Triplemax,Tubeless,88,185/70 R 14,"4,618","4,618",,,,
Maruti,Swift Dzire,ZDI (Diesel),GoodYear,Assurance Triplemax 2,Tubeless,88,185/70 R 14,"4,618","4,618",,,,
Maruti,Swift Dzire,ZDI (Diesel),GoodYear,Duraplus,Tubeless,88,185/70 R 14,"4,885","4,885",,,,
Maruti,Swift Dzire,ZDI (Diesel),GoodYear,Assurance Triplemax,Tubeless,88,185/65 R 15,"4,724","4,724",5,,,
Maruti,Swift Dzire,ZDI (Diesel),GoodYear,Duraplus,Tubeless,88,185/65 R 15,"4,853","4,853",4,,,
Maruti,Swift Dzire,ZXI,GoodYear,Assurance Duraplus,Tubeless,88,185/70 R 14,"4,262","4,262",,,,
Maruti,Swift Dzire,ZXI,GoodYear,Assurance Triplemax,Tubeless,88,185/70 R 14,"4,618","4,618",5,,,
Maruti,Swift Dzire,ZXI (Petrol) New,GoodYear,Assurance Triplemax,Tubeless,88,185/65 R 15,"4,724","4,724",5,,,
Maruti,Swift Dzire,ZXI (Petrol) New,GoodYear,Duraplus,Tubeless,88,185/65 R 15,"4,853","4,853",4,,,
Maruti,Swift Dzire,ZXI (Petrol) New,JKTyre,UX Royale,Tubeless,88,185/65 R 15,"3,995","3,995",,,,
Maruti,Swift Dzire,ZXI (Petrol) New,JKTyre,Taximaxx,Tubeless,88,185/65 R 15,"4,638","4,638",,,,
Maruti,Swift Dzire,ZXI,JKTyre,Taximaxx,Tubeless,88,185/70 R 14,"4,286","4,286",5,,,
Maruti,Swift Dzire,ZXI,JKTyre,UX Royale,Tubeless,88,185/70 R 14,"4,313","4,313",,,,
Maruti,Swift Dzire,ZDI (Diesel),JKTyre,UX Royale,Tubeless,88,185/65 R 15,"3,995","3,995",,,,
Maruti,Swift Dzire,ZDI (Diesel),JKTyre,Taximaxx,Tubeless,88,185/65 R 15,"4,638","4,638",,,,
Maruti,Swift Dzire,ZDI (Diesel),JKTyre,Taximaxx,Tubeless,88,185/70 R 14,"4,286","4,286",5,,,
Maruti,Swift Dzire,ZDI (Diesel),JKTyre,UX Royale,Tubeless,88,185/70 R 14,"4,313","4,313",,,,
Maruti,Swift Dzire,VXI (Petrol),JKTyre,Tornado,Tubeless,85,165/80 R 14,"3,227","3,227",,,,
Maruti,Swift Dzire,VXI (Petrol),JKTyre,Elanzo Touring,Tubeless,85,165/80 R 14,"3,385","3,385",,,,
Maruti,Swift Dzire,Vxi AT (Petrol),JKTyre,Tornado,Tubeless,85,165/80 R 14,"3,227","3,227",,,,
Maruti,Swift Dzire,Vxi AT (Petrol),JKTyre,Elanzo Touring,Tubeless,85,165/80 R 14,"3,385","3,385",,,,
Maruti,Swift Dzire,VDI (Diesel),JKTyre,Tornado,Tubeless,85,165/80 R 14,"3,227","3,227",,,,
Maruti,Swift Dzire,VDI (Diesel),JKTyre,Elanzo Touring,Tubeless,85,165/80 R 14,"3,385","3,385",,,,
Maruti,Swift Dzire,LXI (Petrol),JKTyre,Tornado,Tubeless,85,165/80 R 14,"3,227","3,227",,,,
Maruti,Swift Dzire,LXI (Petrol),JKTyre,Elanzo Touring,Tubeless,85,165/80 R 14,"3,385","3,385",,,,
Maruti,Swift Dzire,LXI Option (Petrol),JKTyre,Tornado,Tubeless,85,165/80 R 14,"3,227","3,227",,,,
